age;d18O_VPDB;d13C_VPDB;mineralogy;group;clim_zone
0;3,01;;calcite;brachiopod;subpolar/polar
0;-1,324894403;;aragonite;bivalve;temperate
0;-0,6;;aragonite;bivalve;temperate
0;-0,6;;aragonite;bivalve;temperate
0;-0,6;;aragonite;bivalve;temperate
0;-0,6;;aragonite;bivalve;temperate
0;-0,6;;aragonite;bivalve;temperate
0;-0,6;;aragonite;bivalve;temperate
0;-0,858521356;;aragonite;bivalve;temperate
0;-1,463860419;;aragonite;bivalve;temperate
0;-0,633055556;;aragonite;bivalve;temperate
0;0,32119403;;aragonite;bivalve;temperate
0;0,084043043;;aragonite;bivalve;temperate
0;0,489166667;;aragonite;bivalve;temperate
0;0,374883721;;aragonite;bivalve;temperate
0;1,652647059;;calcite;bivalve;temperate
0;1,353458647;;calcite;bivalve;temperate
0;-1,888825702;;aragonite;bivalve;temperate
0;-1,698254976;;aragonite;bivalve;temperate
0;-1,764971429;;aragonite;bivalve;temperate
0;-2,005588235;;aragonite;bivalve;tropical/subtropical
0;-2,512;;aragonite;bivalve;tropical/subtropical
0;-2,433076923;;aragonite;bivalve;tropical/subtropical
0;-3,69574359;;aragonite;bivalve;tropical/subtropical
0;-2,8165;;aragonite;bivalve;tropical/subtropical
0;-2,365666667;;aragonite;bivalve;tropical/subtropical
0;-1,998571429;;aragonite;bivalve;tropical/subtropical
0;-2,287;;aragonite;bivalve;tropical/subtropical
0;-2,4025;;aragonite;bivalve;tropical/subtropical
0;-1,611666667;;aragonite;bivalve;tropical/subtropical
0;-3,5475;;aragonite;bivalve;tropical/subtropical
0;-2,595428571;;aragonite;bivalve;tropical/subtropical
0;-2,31;;aragonite;bivalve;tropical/subtropical
0;-1,120986667;;aragonite;bivalve;tropical/subtropical
0;-2,918575;;aragonite;bivalve;tropical/subtropical
0;-1,2;4;aragonite;bivalve;tropical/subtropical
0;-1,765;;aragonite;bivalve;tropical/subtropical
0;-1,677894737;;;bivalve;tropical/subtropical
0;-1,551428571;;;bivalve;tropical/subtropical
0;-0,275318445;;aragonite;gastropod;tropical/subtropical
0;-0,411735877;;aragonite;gastropod;tropical/subtropical
0;-1,189313947;;aragonite;gastropod;tropical/subtropical
0;-0,043990428;;aragonite;gastropod;tropical/subtropical
0;-1,328904803;;aragonite;gastropod;tropical/subtropical
0;-1,302496978;;aragonite;gastropod;tropical/subtropical
0;-2,898018868;;aragonite;gastropod;tropical/subtropical
0;1,65;;calcite;brachiopod;subpolar/polar
3,5;-1,42;2,32;aragonite;gastropod;tropical/subtropical
0,36;-1,26;-0,9;aragonite;gastropod;tropical/subtropical
1;0,55;1,04;aragonite;gastropod;tropical/subtropical
2,05;0,23;2,26;aragonite;gastropod;tropical/subtropical
2,05;0,04;2,52;aragonite;gastropod;tropical/subtropical
