age;d18O_VSMOW;d18O_error;core
4,5;14,55;0,07;DHC2-8
5,2;14,61;0,07;DHC2-8
5,8;14,59;0,07;DHC2-8
6,5;14,59;0,07;DHC2-8
7,2;14,57;0,07;DHC2-8
9,5;14,64;0,07;DHC2-8
12;14,62;0,07;DHC2-8
14,5;14,68;0,07;DHC2-8
16,9;14,69;0,07;DHC2-8
17,8;14,57;0,07;DHC2-8
18,3;14,27;0,07;DHC2-8
18,9;14,09;0,07;DHC2-8
19,4;14,05;0,07;DHC2-8
20;14,02;0,07;DHC2-8
20,5;13,98;0,07;DHC2-8
21;14,01;0,07;DHC2-8
21,5;13,95;0,07;DHC2-8
22;13,97;0,07;DHC2-8
22,5;13,97;0,07;DHC2-8
23,1;13,93;0,07;DHC2-8
23,6;13,88;0,07;DHC2-8
24,1;13,88;0,07;DHC2-8
24,5;13,82;0,07;DHC2-8
24,7;13,84;0,07;DHC2-3
25,1;13,81;0,07;DHC2-3
25,6;13,73;0,07;DHC2-3
26;13,69;0,07;DHC2-3
26,4;13,64;0,07;DHC2-3
26,8;13,66;0,07;DHC2-3
27,3;13,6;0,07;DHC2-3
27,7;13,57;0,07;DHC2-3
28,1;13,67;0,07;DHC2-3
28,6;13,62;0,07;DHC2-3
29;13,61;0,07;DHC2-3
29,4;13,66;0,07;DHC2-3
29,8;13,55;0,07;DHC2-3
30,3;13,68;0,07;DHC2-3
30,7;13,64;0,07;DHC2-3
31,1;13,58;0,07;DHC2-3
31,5;13,62;0,07;DHC2-3
31,8;13,61;0,07;DHC2-3
32,2;13,53;0,07;DHC2-3
32,6;13,54;0,07;DHC2-3
32,9;13,64;0,07;DHC2-3
33,3;13,56;0,07;DHC2-3
33,6;13,72;0,07;DHC2-3
34;13,73;0,07;DHC2-3
34,4;13,77;0,07;DHC2-3
34,7;13,78;0,07;DHC2-3
35,1;13,77;0,07;DHC2-3
35,5;13,74;0,07;DHC2-3
35,8;13,75;0,07;DHC2-3
36,2;13,8;0,07;DHC2-3
36,6;13,78;0,07;DHC2-3
36,9;13,8;0,07;DHC2-3
37,3;13,77;0,07;DHC2-3
37,6;13,76;0,07;DHC2-3
38;13,78;0,07;DHC2-3
38,4;13,79;0,07;DHC2-3
38,7;13,7;0,07;DHC2-3
39,1;13,74;0,07;DHC2-3
39,5;13,79;0,07;DHC2-3
39,8;13,75;0,07;DHC2-3
40,3;13,78;0,07;DHC2-3
40,7;13,79;0,07;DHC2-3
41,1;13,84;0,07;DHC2-3
41,5;13,85;0,07;DHC2-3
41,9;13,93;0,07;DHC2-3
42,3;13,89;0,07;DHC2-3
42,7;13,8;0,07;DHC2-3
43,1;13,93;0,07;DHC2-3
43,6;13,86;0,07;DHC2-3
44;13,84;0,07;DHC2-3
44,4;13,83;0,07;DHC2-3
44,8;13,86;0,07;DHC2-3
45,2;13,88;0,07;DHC2-3
45,6;13,92;0,07;DHC2-3
46;13,93;0,07;DHC2-3
46,4;13,88;0,07;DHC2-3
46,8;13,91;0,07;DHC2-3
47,3;13,89;0,07;DHC2-3
47,7;13,87;0,07;DHC2-3
48,1;13,81;0,07;DHC2-3
48,5;13,86;0,07;DHC2-3
48,9;14;0,07;DHC2-3
49,3;13,98;0,07;DHC2-3
49,7;14,01;0,07;DHC2-3
50,1;13,97;0,07;DHC2-3
50,6;13,99;0,07;DHC2-3
51;13,97;0,07;DHC2-3
51,4;13,97;0,07;DHC2-3
51,8;13,98;0,07;DHC2-3
52,2;13,96;0,07;DHC2-3
52,6;13,89;0,07;DHC2-3
53;13,93;0,07;DHC2-3
53,4;13,91;0,07;DHC2-3
53,8;13,89;0,07;DHC2-3
54,3;13,89;0,07;DHC2-3
54,7;13,8;0,07;DHC2-3
55,1;13,82;0,07;DHC2-3
55,5;13,77;0,07;DHC2-3
55,9;13,7;0,07;DHC2-3
56,3;13,82;0,07;DHC2-3
56,6;13,75;0,07;DHC2-3
56,9;13,71;0,07;DHC2-3
57,2;13,73;0,07;DHC2-3
57,6;13,71;0,07;DHC2-3
57,9;13,72;0,07;DHC2-3
58,2;13,71;0,07;DHC2-3
58,5;13,68;0,07;DHC2-3
58,9;13,63;0,07;DHC2-3
59,2;13,56;0,07;DHC2-3
59,5;13,62;0,07;DHC2-3
59,8;13,51;0,07;DHC2-3
60,1;13,52;0,07;DHC2-3
60,5;13,51;0,07;DHC2-3
60,8;13,51;0,07;DHC2-3
61,1;13,44;0,07;DHC2-3
61,4;13,41;0,07;DHC2-3
61,8;13,41;0,07;DHC2-3
62,1;13,4;0,07;DHC2-3
62,4;13,39;0,07;DHC2-3
62,7;13,38;0,07;DHC2-3
63,1;13,35;0,07;DHC2-3
63,4;13,41;0,07;DHC2-3
63,7;13,48;0,07;DHC2-3
64;13,57;0,07;DHC2-3
64,3;13,56;0,07;DHC2-3
64,7;13,56;0,07;DHC2-3
65;13,62;0,07;DHC2-3
65,3;13,62;0,07;DHC2-3
65,6;13,63;0,07;DHC2-3
66;13,64;0,07;DHC2-3
66,3;13,73;0,07;DHC2-3
66,6;13,75;0,07;DHC2-3
67;13,75;0,07;DHC2-3
67,3;13,77;0,07;DHC2-3
67,7;13,76;0,07;DHC2-3
68;13,77;0,07;DHC2-3
68,4;13,77;0,07;DHC2-3
68,7;13,87;0,07;DHC2-3
69,1;13,84;0,07;DHC2-3
69,4;13,81;0,07;DHC2-3
69,8;13,91;0,07;DHC2-3
70,1;13,88;0,07;DHC2-3
70,5;13,91;0,07;DHC2-3
70,8;13,96;0,07;DHC2-3
71,2;13,93;0,07;DHC2-3
71,5;13,88;0,07;DHC2-3
71,9;13,92;0,07;DHC2-3
72,2;13,88;0,07;DHC2-3
72,6;13,96;0,07;DHC2-3
72,9;14,08;0,07;DHC2-3
73,3;14,07;0,07;DHC2-3
73,6;14,11;0,07;DHC2-3
74;14,11;0,07;DHC2-3
74,3;14,07;0,07;DHC2-3
